"","X","hour","temperature","Date","year","month","day","DayOfWeek","Weekday","PeakHour","Account","tree.pred"
"198",198,23,71,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"199",199,0,71,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"200",200,1,69,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"201",201,2,68,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"202",202,3,67,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"203",203,4,67,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"204",204,5,67,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"205",205,6,67,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"206",206,7,69,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"207",207,8,72,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"208",208,9,74,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"209",209,10,76,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"210",210,11,78,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"211",211,12,79,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"212",212,13,80,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"213",213,14,81,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"214",214,15,80,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"215",215,16,79,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"216",216,17,78,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"217",217,18,76,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"218",218,19,75,"6/22/2016",2016,6,22,2,1,1,222,"Optimal"
"219",219,20,74,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"220",220,21,72,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"221",221,22,70,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
"222",222,23,69,"6/22/2016",2016,6,22,2,1,0,222,"Optimal"
